Test Accuracy,Trial ID
9.799999743700027%,eWbDb
12.250000238418579%,so4tE
11.349999904632568%,f68ip
11.349999904632568%,bvkpb
51.28999948501587%,syMCY
11.349999904632568%,ezXmd
11.349999904632568%,SFety
30.480000376701355%,R3FbG
56.08000159263611%,pcXdG
25.540000200271606%,ogZML
12.470000237226486%,QObxD
11.349999904632568%,VH57l
9.799999743700027%,d9HAl
67.5599992275238%,LuqBf
37.2299998998642%,qjMT4
83.12000036239624%,yEeKI
60.519999265670776%,YUUN3
38.65000009536743%,svz0d
57.81000256538391%,on3bl
74.4599997997284%,Ef60C
9.799999743700027%,cRHUW
9.799999743700027%,mbSip
40.81999957561493%,FzTaB
48.71000051498413%,CUKDq
10.100000351667404%,qZ6rP
61.229997873306274%,yAfLS
74.18000102043152%,UR5Hz
72.72999882698059%,bEsIl
13.240000605583191%,Z7WW4
62.43000030517578%,xQL6d
64.7599995136261%,jp2SS
36.66999936103821%,wbpxr
72.39000201225281%,fUWhm
43.950000405311584%,H7C8f
12.939999997615814%,jeh5L
71.57999873161316%,hoCcj
31.999999284744263%,VsZOb
67.90000200271606%,ODwvZ
69.67999935150146%,eEmi3
15.680000185966492%,Lg3lS
64.85999822616577%,ngbnI
51.49000287055969%,HJeNl
15.919999778270721%,er2Fj
73.78000020980835%,J2Cep
66.14999771118164%,dFioE
73.64000082015991%,FrBBK
36.660000681877136%,OQ68t
45.14000117778778%,dKphp
38.56000006198883%,VxNVm
77.0900011062622%,Ru4Wj
43.68000030517578%,CycWx
39.730000495910645%,Fvs9e
76.99000239372253%,hWvoY
21.199999749660492%,NhRjY
61.08999848365784%,WhvBv
18.160000443458557%,IeiDO
61.69999837875366%,nMQhl
52.4399995803833%,PAkHr
88.8700008392334%,cF1eF
33.34000110626221%,NjJS3
75.29000043869019%,HT6Ir
71.48000001907349%,bVW8q
68.69999766349792%,icjAK
91.87999963760376%,qdjEe
81.67999982833862%,o5za3
80.98000288009644%,lIZT8
24.709999561309814%,kZRJs
51.69000029563904%,XOtxA
84.61999893188477%,BS8VP
90.46000242233276%,lrd61
71.82999849319458%,j6qSI
16.359999775886536%,TJOZb
9.799999743700027%,hrOYr
93.30999851226807%,jiCFU
86.93000078201294%,n6cbu
79.36000227928162%,Li2Fs
68.19000244140625%,WoMcY
81.59000277519226%,oHdzk
93.23999881744385%,vvtQU
21.02999985218048%,HVMHt
93.12000274658203%,ZVm1H
53.359997272491455%,HurCK
72.28999733924866%,zvg6Q
56.69999718666077%,DBqkP
83.12000036239624%,QkXP0
77.21999883651733%,t5yQQ
25.08000135421753%,cd5y9
90.07999897003174%,aUb3W
88.33000063896179%,NjBZ6
91.54000282287598%,PrlND
89.88999724388123%,H30Wh
90.52000045776367%,cx6CY
90.45000076293945%,TE70D
67.15999841690063%,F4ud5
94.7700023651123%,aTOoD
88.67999911308289%,nx75h
83.06999802589417%,VeYBp
61.97999715805054%,oOxAi
92.90000200271606%,Ol032
12.540000677108765%,KShMV
37.09000051021576%,yJQHM
9.799999743700027%,rHxA1
64.80000019073486%,eITpR
32.40000009536743%,e6K8I
12.540000677108765%,lsyH0
9.799999743700027%,HxcMU
30.880001187324524%,lnNtK
28.65000069141388%,gSp6v
31.42000138759613%,AjENA
81.91999793052673%,xEYAr
36.93999946117401%,VeIHd
81.63999915122986%,fHKSu
55.309998989105225%,f56EN
53.289997577667236%,q2rOq
28.229999542236328%,zqlbl
60.03999710083008%,HsKYl
58.60000252723694%,sNV9E
32.109999656677246%,q08bs
64.14999961853027%,OY6op
16.79999977350235%,v2NJp
76.33000016212463%,HdGIp
